AH0,0.19,0.24
AE1,0.4,0.48
IH0,0.51,0.59
AO1,0.79,0.89
AH0,1.08,1.14
EY1,1.24,1.44
AE1,1.52,1.63
IH1,1.72,1.78
AH0,1.85,1.9
UH1,2.06,2.11
AH0,2.23,2.26
IY0,2.34,2.42
OW1,2.42,2.51
AH1,2.73,2.79
ER0,2.95,3.03
EY1,3.23,3.33
IH0,4.17,4.27
AH0,4.37,4.4
IH0,4.53,4.56
UW1,4.72,4.76
IH0,4.81,4.88
IH0,4.95,5.0
IY1,5.05,5.2
AH0,5.2,5.24
IH1,5.27,5.33
AH0,5.52,5.55
AH0,5.62,5.71
EH1,5.93,5.99
AO2,6.12,6.25
UH1,6.48,6.55
IH0,6.65,6.69
IH0,6.72,6.78
ER1,6.9,7.03
IY0,7.07,7.17
ER0,7.17,7.2
AO1,7.34,7.41
UW1,7.66,7.69
OW1,7.75,7.84
UH1,8.04,8.13
IH0,8.67,8.71
AA1,8.91,9.03
IY1,9.36,9.43
IH0,9.56,9.6
AH0,9.72,9.76
UW1,9.98,10.03
AH0,10.21,10.25
AE0,10.46,10.55
EY1,10.72,10.92
AH1,11.59,11.71
AY1,11.84,11.96
AH0,11.99,12.03
AY1,12.14,12.26
IH0,12.3,12.35
IY1,12.48,12.57
IH1,12.78,12.87
AA1,13.13,13.23
OW0,13.31,13.48
IH0,13.48,13.59
AH0,13.71,13.74
AH0,13.8,13.85
AY1,14.02,14.22
AH0,14.22,14.25
EH1,14.48,14.55
AH0,14.68,14.71
AH1,14.83,14.9
AH0,15.03,15.1
IH1,15.21,15.24
AH0,15.31,15.34
IY1,15.57,15.7
